Position(Kb)	GC Skew
0.0	-12.53
1.0	-12.24
2.0	-10.42
3.0	-9.92
4.0	-11.66
5.0	-14.18
6.0	-13.66
7.0	-13.83
8.0	-14.02
9.0	-13.2
10.0	-15.42
11.0	-17.24
12.0	-16.47
13.0	-16.85
14.0	-18.49
15.0	-19.11
16.0	-18.86
17.0	-18.92
18.0	-19.38
19.0	-18.15
20.0	-18.34
21.0	-19.43
22.0	-19.88
23.0	-19.22
24.0	-20.08
25.0	-18.74
26.0	-18.16
27.0	-20.44
28.0	-22.15
29.0	-21.5
30.0	-22.62
31.0	-22.63
32.0	-23.74
33.0	-22.33
34.0	-23.2
35.0	-22.19
36.0	-22.31
37.0	-22.0
38.0	-22.1
39.0	-22.79
40.0	-23.78
41.0	-24.44
42.0	-24.18
43.0	-22.64
44.0	-21.97
45.0	-22.0
46.0	-23.22
47.0	-23.54
48.0	-24.99
49.0	-23.34
50.0	-21.57
51.0	-19.24
52.0	-19.79
53.0	-19.35
54.0	-18.07
55.0	-17.27
56.0	-15.09
57.0	-14.04
58.0	-12.75
59.0	-12.2
60.0	-10.43
61.0	-7.84
62.0	-6.42
63.0	-5.05
64.0	-6.37
65.0	-8.74
66.0	-8.61
67.0	-5.69
68.0	-5.04
69.0	-6.44
70.0	-6.82
71.0	-9.33
72.0	-9.79
73.0	-12.53
74.0	-13.73
75.0	-15.13
76.0	-16.21
77.0	-17.49
78.0	-18.54
79.0	-19.42
80.0	-20.6
81.0	-21.98
82.0	-23.51
83.0	-24.89
84.0	-24.13
85.0	-22.26
86.0	-21.88
87.0	-23.28
88.0	-23.14
89.0	-23.42
90.0	-23.1
91.0	-23.73
92.0	-23.7
93.0	-23.2
94.0	-21.85
95.0	-20.27
96.0	-20.08
97.0	-21.14
98.0	-21.83
99.0	-22.39
100.0	-23.81
101.0	-23.09
102.0	-22.79
103.0	-22.32
104.0	-22.5
105.0	-23.06
106.0	-23.51
107.0	-23.93
108.0	-25.24
109.0	-26.89
110.0	-28.58
111.0	-29.57
112.0	-29.72
113.0	-29.22
114.0	-29.7
115.0	-30.64
116.0	-32.05
117.0	-31.2
118.0	-31.3
119.0	-31.1
120.0	-30.06
121.0	-28.06
122.0	-27.86
123.0	-26.05
124.0	-25.52
125.0	-23.94
126.0	-22.86
127.0	-21.56
128.0	-21.17
129.0	-20.21
130.0	-19.97
131.0	-19.33
132.0	-20.08
133.0	-19.84
134.0	-19.02
135.0	-20.28
136.0	-21.22
137.0	-18.94
138.0	-18.05
139.0	-17.81
140.0	-18.44
141.0	-19.09
142.0	-19.1
143.0	-17.78
144.0	-16.66
145.0	-15.17
146.0	-14.05
147.0	-13.68
148.0	-13.59
149.0	-14.61
150.0	-14.27
151.0	-14.65
152.0	-16.53
153.0	-18.0
154.0	-18.87
155.0	-17.53
156.0	-16.57
157.0	-16.22
158.0	-16.86
159.0	-18.92
160.0	-21.04
161.0	-22.76
162.0	-22.44
163.0	-23.08
164.0	-22.36
165.0	-22.01
166.0	-21.79
167.0	-22.35
168.0	-22.24
169.0	-19.37
170.0	-18.37
171.0	-17.32
172.0	-16.36
173.0	-16.77
174.0	-16.84
175.0	-16.71
176.0	-16.09
