Position(Kb)	Taux de GC
0.0	27.09
1.0	27.45
2.0	27.45
3.0	27.43
4.0	27.79
5.0	27.98
6.0	27.81
7.0	28.1
8.0	28.01
9.0	28.28
10.0	28.79
11.0	28.97
12.0	28.97
13.0	29.25
14.0	29.13
15.0	29.03
16.0	28.84
17.0	28.96
18.0	28.59
19.0	28.8
20.0	28.75
21.0	28.76
22.0	28.24
23.0	28.16
24.0	27.89
25.0	27.32
26.0	27.01
27.0	26.97
28.0	26.94
29.0	26.92
30.0	26.79
31.0	26.92
32.0	26.96
33.0	27.23
34.0	26.79
35.0	26.59
36.0	26.74
37.0	27.27
38.0	28.02
39.0	28.32
40.0	28.48
41.0	28.73
42.0	28.75
43.0	28.68
44.0	28.89
45.0	29.3
46.0	29.52
47.0	29.45
48.0	29.63
49.0	29.71
50.0	29.95
51.0	30.08
52.0	29.34
53.0	28.39
54.0	28.01
55.0	27.91
56.0	28.05
57.0	27.83
58.0	27.77
59.0	27.49
60.0	27.05
61.0	26.52
62.0	26.16
63.0	25.73
64.0	25.85
65.0	25.41
66.0	24.92
67.0	25.18
68.0	25.79
69.0	26.19
70.0	26.69
71.0	26.59
72.0	26.63
73.0	27.3
74.0	27.43
75.0	27.71
76.0	28.66
77.0	29.31
78.0	29.95
79.0	30.0
80.0	30.19
81.0	30.45
82.0	30.17
83.0	29.95
84.0	29.56
85.0	29.38
86.0	29.13
87.0	29.32
88.0	29.3
89.0	29.67
90.0	29.27
91.0	28.71
92.0	28.41
93.0	28.51
94.0	28.17
95.0	28.21
96.0	28.28
97.0	28.57
98.0	28.64
99.0	29.17
100.0	29.09
101.0	29.28
102.0	29.34
103.0	28.89
104.0	28.65
105.0	29.2
106.0	29.27
107.0	29.17
108.0	28.84
109.0	29.25
110.0	29.29
111.0	28.97
112.0	29.25
113.0	29.59
114.0	29.13
115.0	29.16
116.0	29.16
117.0	28.99
118.0	28.88
119.0	28.79
120.0	28.67
121.0	28.56
122.0	28.83
123.0	28.74
124.0	28.45
125.0	28.63
126.0	28.93
127.0	28.95
128.0	28.65
129.0	28.83
130.0	28.64
131.0	28.91
132.0	28.81
133.0	29.13
134.0	29.52
135.0	29.55
136.0	29.62
137.0	29.81
138.0	29.99
139.0	30.24
140.0	30.41
141.0	30.63
142.0	30.44
143.0	30.0
144.0	29.81
145.0	29.71
146.0	29.13
147.0	29.13
148.0	28.89
149.0	28.56
150.0	28.17
151.0	28.09
152.0	27.79
153.0	27.41
154.0	27.35
155.0	26.81
156.0	26.47
157.0	26.23
158.0	26.41
159.0	26.61
160.0	26.71
161.0	27.07
162.0	27.09
163.0	27.32
164.0	27.67
165.0	27.83
166.0	28.42
167.0	28.45
168.0	28.69
169.0	28.81
170.0	29.25
171.0	29.53
172.0	29.83
173.0	29.86
174.0	29.73
175.0	29.84
176.0	29.38
177.0	29.29
178.0	29.16
179.0	28.59
180.0	28.87
181.0	28.41
182.0	28.34
183.0	28.28
184.0	27.59
185.0	26.84
186.0	26.79
187.0	26.8
188.0	26.93
189.0	27.09
190.0	27.06
191.0	27.54
192.0	27.75
193.0	27.63
194.0	27.61
195.0	27.42
196.0	26.97
197.0	26.71
198.0	26.69
199.0	27.55
200.0	28.22
201.0	28.07
202.0	27.67
203.0	27.14
204.0	26.85
205.0	26.92
206.0	26.77
207.0	26.99
208.0	27.11
209.0	27.54
210.0	28.02
211.0	28.64
212.0	28.94
213.0	29.01
214.0	28.45
215.0	28.28
216.0	28.42
217.0	28.56
218.0	28.95
219.0	28.96
220.0	28.9
221.0	29.06
222.0	29.15
223.0	29.19
224.0	28.55
225.0	28.09
226.0	28.05
227.0	28.09
228.0	28.06
229.0	28.43
230.0	28.39
231.0	28.0
232.0	28.41
233.0	29.18
234.0	29.33
235.0	29.51
236.0	29.39
237.0	29.51
238.0	29.11
