Position	TxGC
1	52
11	50
21	53
31	54
41	57
51	52
61	51
71	60
81	54
91	51
101	52
111	51
121	54
131	51
141	50
151	59
161	57
171	50
181	56
191	58
201	50
211	53
221	59
231	60
241	60
251	50
261	58
271	58
281	59
291	60
301	50
311	55
321	54
331	54
341	51
351	53
361	56
371	57
381	56
391	50
401	54
411	55
421	50
431	50
441	50
451	60
461	53
471	58
481	56
491	51
501	54
511	54
521	52
531	53
541	50
551	55
561	56
571	57
581	54
591	56
601	51
611	51
621	52
631	55
641	57
651	55
661	59
671	52
681	50
691	50
701	59
711	57
721	60
731	50
741	55
751	54
761	59
771	53
781	59
791	51
801	52
811	52
821	57
831	51
841	60
851	53
861	50
871	56
881	58
891	54
901	54
911	54
921	60
931	53
941	59
951	51
961	59
971	53
981	53
991	50
1001	56
1011	54
1021	53
1031	59
1041	54
1051	51
1061	54
1071	57
1081	58
1091	57
1101	52
1111	56
1121	58
1131	60
1141	57
1151	59
1161	57
1171	54
1181	51
1191	51
1201	57
1211	53
1221	55
1231	58
1241	52
1251	56
1261	58
1271	51
1281	60
1291	52
1301	54
1311	50
1321	53
1331	52
1341	57
1351	52
1361	53
1371	52
1381	54
1391	51
1401	56
1411	57
1421	56
1431	59
1441	53
1451	57
1461	58
1471	52
1481	51
1491	54
1501	60
1511	50
1521	54
1531	58
1541	59
1551	60
1561	51
1571	60
1581	55
1591	60
1601	50
1611	50
1621	52
1631	60
1641	57
1651	55
1661	56
1671	55
1681	53
1691	56
1701	50
1711	60
1721	56
1731	57
1741	58
1751	58
1761	51
1771	56
1781	55
1791	52
1801	59
1811	60
1821	56
1831	60
1841	60
1851	60
1861	55
1871	60
1881	54
1891	51
1901	53
1911	57
1921	60
1931	51
1941	60
1951	52
1961	54
1971	57
1981	55
1991	52
2001	53
2011	60
2021	50
2031	60
2041	58
2051	53
2061	52
2071	51
2081	54
2091	54
2101	56
2111	56
2121	55
2131	60
2141	54
2151	54
2161	50
2171	52
2181	57
2191	58
2201	51
2211	60
2221	53
2231	51
2241	52
2251	54
2261	53
2271	59
2281	56
2291	52
2301	54
2311	54
2321	60
2331	57
2341	58
2351	58
2361	54
2371	54
2381	53
2391	52
2401	59
2411	55
2421	58
2431	56
2441	54
2451	54
2461	58
2471	54
2481	52
2491	54
2501	53
2511	53
2521	59
2531	57
2541	55
2551	52
2561	57
2571	56
2581	50
2591	57
2601	57
2611	60
2621	58
2631	53
2641	51
2651	54
2661	55
2671	57
2681	58
2691	53
2701	51
2711	52
2721	59
2731	53
2741	53
2751	60
2761	60
2771	54
2781	56
2791	54
2801	60
2811	50
2821	52
2831	52
2841	50
2851	55
2861	60
2871	55
2881	60
2891	53
2901	59
2911	54
2921	52
2931	52
2941	55
2951	51
2961	54
2971	54
2981	59
2991	50
3001	60
3011	57
3021	60
3031	58
3041	59
3051	52
3061	50
3071	52
3081	60
3091	53
3101	52
3111	55
3121	58
3131	59
3141	50
3151	52
3161	59
3171	60
3181	56
3191	57
3201	59
3211	54
3221	59
3231	58
3241	59
3251	56
3261	54
3271	59
3281	51
3291	57
3301	55
3311	59
3321	55
3331	60
3341	52
3351	53
3361	58
3371	60
3381	59
3391	56
3401	51
3411	50
3421	57
3431	59
3441	56
3451	50
3461	58
3471	58
3481	56
3491	57
3501	53
3511	58
3521	53
3531	52
3541	50
3551	52
3561	60
3571	58
3581	54
3591	54
3601	57
3611	52
3621	52
3631	50
3641	54
3651	57
3661	57
3671	56
3681	54
3691	55
3701	56
3711	51
3721	51
3731	60
3741	56
3751	52
3761	56
3771	59
3781	58
3791	60
3801	53
3811	55
3821	54
3831	50
3841	54
3851	50
3861	50
3871	60
3881	58
3891	53
3901	58
3911	59
3921	53
3931	51
3941	50
3951	53
3961	53
3971	54
3981	60
3991	50
4001	57
4011	58
4021	58
4031	54
4041	50
4051	57
4061	54
4071	59
4081	57
4091	54
4101	53
4111	58
4121	50
4131	55
4141	52
4151	59
4161	60
4171	59
4181	54
4191	60
4201	54
4211	59
4221	60
4231	58
4241	52
4251	55
4261	54
4271	55
4281	60
4291	53
4301	52
4311	54
4321	53
4331	59
4341	50
4351	51
4361	51
4371	51
4381	50
4391	58
4401	57
4411	54
4421	51
4431	51
4441	57
4451	60
4461	50
4471	50
4481	54
4491	56
4501	60
4511	50
4521	54
4531	58
4541	56
4551	60
4561	55
4571	52
4581	55
4591	56
4601	52
4611	56
4621	55
4631	57
4641	53
4651	57
4661	51
4671	60
4681	58
4691	53
4701	50
4711	54
4721	53
4731	57
4741	58
4751	55
4761	56
4771	53
4781	60
4791	52
4801	53
4811	50
4821	56
4831	53
4841	50
4851	53
4861	57
4871	54
4881	53
4891	56
4901	57
4911	54
4921	53
4931	56
4941	52
4951	57
4961	59
4971	58
4981	51
4991	50
5001	52
5011	52
5021	56
5031	57
5041	51
5051	60
5061	53
5071	50
5081	52
5091	53
5101	54
5111	60
5121	55
5131	60
5141	50
5151	58
5161	53
5171	55
5181	55
5191	51
5201	58
5211	51
5221	50
5231	54
5241	52
5251	58
5261	55
5271	55
5281	57
5291	52
5301	58
5311	52
5321	60
5331	53
5341	60
5351	56
5361	57
5371	53
5381	51
5391	57
5401	55
5411	51
5421	58
5431	52
5441	53
5451	52
5461	50
5471	51
5481	57
5491	56
5501	50
5511	58
5521	56
5531	53
5541	55
5551	52
5561	57
5571	55
5581	55
5591	51
5601	59
5611	59
5621	57
5631	58
5641	51
5651	51
5661	60
5671	56
5681	57
5691	52
5701	51
5711	57
5721	51
5731	53
5741	51
5751	54
5761	51
5771	51
5781	50
5791	56
5801	53
5811	52
5821	57
5831	54
5841	57
5851	54
5861	55
5871	52
5881	60
5891	55
5901	57
5911	59
5921	54
5931	59
5941	58
5951	52
5961	55
5971	51
5981	56
5991	51
6001	53
6011	57
6021	52
6031	60
6041	50
6051	57
6061	55
6071	57
6081	60
6091	54
6101	51
6111	60
6121	51
6131	59
6141	54
6151	52
6161	59
6171	59
6181	53
6191	53
6201	55
6211	59
6221	54
6231	50
6241	58
6251	52
6261	50
6271	56
6281	60
6291	57
6301	53
6311	56
6321	50
6331	59
6341	55
6351	57
6361	58
6371	51
6381	57
6391	55
6401	60
6411	52
6421	52
6431	51
6441	56
6451	57
6461	54
6471	53
6481	55
6491	57
6501	50
6511	55
