Position	TauxGC
1	22.0
1001	28.4
2001	29.099999999999998
3001	23.9
4001	27.900000000000002
5001	30.0
6001	30.8
7001	28.199999999999996
8001	26.1
9001	25.8
10001	27.0
11001	27.900000000000002
12001	22.900000000000002
13001	28.000000000000004
14001	28.299999999999997
15001	27.500000000000004
16001	28.299999999999997
17001	28.799999999999997
18001	29.299999999999997
19001	30.8
20001	27.500000000000004
21001	35.099999999999994
22001	26.8
23001	30.2
24001	33.4
25001	29.7
26001	28.000000000000004
27001	27.0
28001	26.3
29001	26.700000000000003
30001	24.7
31001	30.099999999999998
32001	23.3
33001	32.4
34001	30.099999999999998
35001	27.6
36001	27.3
37001	25.6
38001	26.200000000000003
39001	24.8
40001	25.1
41001	27.3
42001	26.6
43001	26.0
44001	24.8
45001	26.6
46001	30.7
47001	27.3
48001	25.8
49001	27.200000000000003
50001	29.799999999999997
51001	35.199999999999996
52001	36.9
53001	30.7
54001	27.200000000000003
55001	28.799999999999997
56001	27.700000000000003
57001	25.5
58001	29.2
59001	30.9
60001	29.9
61001	29.7
62001	30.0
63001	26.900000000000002
64001	30.9
65001	31.7
66001	24.099999999999998
67001	22.6
68001	25.0
69001	25.8
70001	30.8
71001	24.4
72001	24.6
73001	25.0
74001	24.3
75001	22.0
76001	24.3
77001	23.5
78001	28.7
79001	24.3
80001	24.4
81001	28.000000000000004
82001	31.8
83001	31.0
84001	33.2
85001	29.299999999999997
86001	25.1
87001	34.599999999999994
88001	27.0
89001	28.499999999999996
90001	36.199999999999996
91001	34.1
92001	33.1
93001	29.4
94001	27.200000000000003
95001	28.299999999999997
96001	23.799999999999997
97001	28.4
98001	25.2
99001	30.5
100001	25.6
101001	27.900000000000002
102001	34.300000000000004
103001	32.5
104001	22.5
105001	27.800000000000004
106001	29.7
107001	34.5
108001	24.3
109001	27.900000000000002
110001	29.299999999999997
111001	28.199999999999996
112001	29.4
113001	33.2
114001	29.2
115001	28.499999999999996
116001	28.799999999999997
117001	27.500000000000004
118001	28.9
119001	30.8
120001	28.799999999999997
121001	28.199999999999996
122001	29.599999999999998
123001	30.5
124001	28.499999999999996
125001	24.4
126001	32.5
127001	34.5
128001	26.3
129001	29.599999999999998
130001	28.499999999999996
131001	26.3
132001	25.8
133001	27.6
134001	28.999999999999996
135001	27.1
136001	32.300000000000004
137001	28.199999999999996
138001	26.1
139001	31.2
140001	28.999999999999996
141001	32.7
142001	30.099999999999998
143001	28.9
144001	26.8
145001	32.5
146001	24.9
147001	30.5
148001	33.5
149001	29.5
150001	28.1
151001	35.099999999999994
152001	30.9
153001	29.9
154001	33.7
155001	32.4
156001	29.799999999999997
157001	23.5
158001	26.0
159001	25.3
160001	23.9
161001	24.9
162001	26.8
163001	28.599999999999998
164001	23.599999999999998
165001	26.900000000000002
166001	30.7
167001	25.2
168001	28.9
169001	25.6
170001	27.3
171001	26.200000000000003
172001	26.3
173001	28.9
174001	26.900000000000002
175001	29.2
176001	25.3
177001	30.2
178001	33.800000000000004
179001	26.1
180001	35.699999999999996
181001	31.2
182001	28.7
183001	30.7
184001	32.300000000000004
185001	31.4
186001	30.7
187001	26.8
188001	26.900000000000002
189001	28.599999999999998
190001	22.3
191001	23.9
192001	28.299999999999997
193001	25.2
194001	30.3
195001	28.9
196001	30.099999999999998
197001	27.800000000000004
198001	20.3
199001	21.099999999999998
200001	30.599999999999998
201001	30.9
202001	28.7
203001	29.4
204001	28.1
205001	29.5
206001	27.0
207001	26.5
208001	24.9
209001	27.500000000000004
210001	22.1
211001	26.200000000000003
212001	27.6
213001	33.2
214001	31.1
215001	28.4
216001	24.8
217001	20.8
218001	25.1
219001	29.099999999999998
220001	27.3
221001	30.2
222001	28.299999999999997
223001	31.4
224001	34.699999999999996
225001	31.4
226001	30.7
227001	28.7
228001	24.8
229001	28.499999999999996
230001	30.5
231001	26.900000000000002
232001	26.700000000000003
233001	25.2
234001	28.199999999999996
235001	29.7
236001	31.6
237001	28.9
238001	21.8
239001	27.800000000000004
240001	30.8
241001	31.2
242001	28.299999999999997
243001	30.4
244001	27.800000000000004
245001	24.7
246001	33.0
247001	38.3
248001	27.500000000000004
249001	30.9
250001	27.900000000000002
251001	33.300000000000004
