Position	G-C/G+C
0	-15.31
2500	-11.03
5000	-18.81
7500	-8.6
10000	-3.21
12500	-9.38
15000	-19.83
17500	-23.71
20000	-21.96
22500	-14.52
25000	-15.18
27500	-18.81
30000	-17.5
32500	-25.07
35000	-23.8
37500	-20.8
40000	-26.96
42500	-23.8
45000	-16.13
47500	-22.97
50000	-27.78
52500	-24.56
55000	-21.18
57500	-25.39
60000	-15.2
62500	-7.69
65000	-15.33
67500	-6.04
70000	-0.08
72500	-1.79
75000	-10.91
77500	-7.12
80000	-9.3
82500	-22.56
85000	-24.71
87500	-22.58
90000	-27.38
92500	-26.86
95000	-13.66
97500	-19.18
100000	-27.31
102500	-25.79
105000	-19.56
107500	-20.06
110000	-24.58
112500	-21.33
115000	-24.98
117500	-32.03
120000	-36.26
122500	-35.51
125000	-30.62
127500	-25.14
130000	-22.89
132500	-19.0
135000	-18.15
137500	-20.59
140000	-19.05
142500	-23.29
145000	-23.53
147500	-13.78
150000	-13.0
152500	-18.57
155000	-8.47
157500	-7.21
160000	-22.07
162500	-23.83
165000	-22.36
167500	-17.95
170000	-18.73
172500	-25.2
175000	-24.76
177500	-23.8
180000	-12.23
182500	-0.79
185000	-13.57
187500	-24.44
190000	-15.69
192500	-4.3
195000	-7.33
197500	-21.96
200000	-12.8
202500	1.14
205000	-1.62
207500	-3.65
210000	-14.12
212500	-16.01
215000	-12.01
217500	-11.78
220000	-8.76
222500	-18.58
225000	-19.22
227500	-13.58
230000	-7.64
232500	-15.09
235000	-28.9
237500	-25.95
240000	-19.33
242500	-5.22
245000	3.89
247500	-9.01
250000	-13.17
252500	2.23
255000	2.42
257500	-9.92
260000	-17.55
262500	-10.5
265000	-13.28
267500	-24.05
270000	-22.02
272500	-14.49
275000	-21.18
277500	-33.78
280000	-30.88
282500	-22.45
285000	-18.62
287500	-19.49
290000	-24.23
292500	-27.76
295000	-32.22
297500	-30.04
300000	-27.18
302500	-27.08
305000	-26.94
307500	-24.89
310000	-25.32
312500	-31.66
315000	-26.73
317500	-17.82
320000	-20.41
322500	-26.75
325000	-16.22
327500	-15.65
330000	-25.15
332500	-8.09
335000	2.08
337500	2.47
340000	-2.1
342500	-5.39
345000	-10.97
347500	-23.53
350000	-23.75
352500	-14.53
355000	-9.2
357500	-13.78
360000	-15.9
362500	-23.1
365000	-20.41
367500	-10.46
370000	-5.11
372500	-10.01
375000	-23.35
377500	-26.89
380000	-19.73
382500	-7.57
385000	-9.15
387500	-20.8
390000	-26.92
392500	-30.69
395000	-32.15
397500	-26.06
400000	-22.65
402500	-26.32
405000	-28.58
407500	-26.61
410000	-21.96
412500	-18.65
415000	-13.27
417500	-16.3
420000	-17.48
422500	-5.17
425000	-1.33
427500	-16.45
430000	-28.04
432500	-22.93
435000	-22.6
437500	-25.12
440000	-23.39
442500	-24.17
445000	-22.49
447500	-16.81
450000	-23.98
452500	-26.02
455000	-4.51
457500	26.19
460000	30.1
462500	16.59
465000	3.98
467500	3.48
470000	9.5
472500	14.04
475000	16.64
477500	18.47
480000	21.64
482500	29.05
485000	30.49
487500	31.79
490000	28.23
492500	25.15
495000	28.55
497500	33.94
500000	38.2
502500	31.12
505000	27.95
507500	29.78
510000	26.81
512500	27.69
515000	33.09
517500	35.97
520000	32.08
522500	28.23
525000	9.19
527500	-4.13
530000	12.32
532500	24.08
535000	11.54
537500	7.41
540000	19.74
542500	25.32
545000	9.17
547500	-2.18
550000	10.83
552500	25.48
555000	14.6
557500	0.15
560000	12.26
562500	22.55
565000	24.63
567500	24.15
570000	15.6
572500	2.81
575000	13.41
577500	26.79
580000	18.73
582500	16.93
585000	23.59
587500	27.93
590000	24.63
592500	22.7
595000	21.02
597500	17.66
600000	15.15
602500	9.13
605000	13.76
607500	24.51
610000	20.45
612500	9.63
615000	9.1
617500	12.99
620000	19.35
622500	22.9
625000	11.0
627500	9.01
630000	20.33
632500	24.42
635000	27.26
637500	27.62
640000	14.38
642500	9.94
645000	12.14
647500	1.3
650000	1.89
652500	12.84
655000	9.84
657500	4.82
660000	5.13
662500	3.95
665000	5.31
667500	4.52
670000	8.05
672500	16.91
675000	13.87
677500	0.0
680000	9.42
682500	17.51
685000	16.94
687500	27.02
690000	23.67
692500	11.77
695000	7.73
697500	10.31
700000	16.78
702500	24.3
705000	27.36
707500	25.97
710000	17.96
712500	18.69
715000	23.32
717500	21.47
720000	17.15
722500	20.83
725000	29.25
727500	24.02
730000	25.12
732500	31.92
735000	35.15
737500	31.77
740000	26.18
742500	24.06
745000	28.7
747500	31.9
750000	24.22
752500	22.56
755000	24.75
757500	20.87
760000	20.09
762500	19.64
765000	9.9
767500	-2.95
770000	-1.4
772500	9.91
775000	20.72
777500	21.27
780000	16.69
782500	24.21
785000	25.94
787500	18.87
790000	14.44
792500	9.04
795000	0.43
797500	6.17
800000	10.19
802500	-1.79
805000	-2.76
807500	-1.28
810000	-0.29
812500	0.99
815000	19.0
817500	34.25
820000	28.88
822500	26.66
825000	25.82
827500	21.15
830000	18.49
832500	27.65
835000	26.53
837500	21.28
840000	29.63
842500	29.19
845000	25.38
847500	31.6
850000	26.48
852500	17.03
855000	16.01
857500	14.52
860000	20.21
862500	26.18
865000	18.47
867500	3.98
870000	1.35
872500	12.7
875000	25.16
877500	18.39
880000	0.21
882500	-5.31
885000	6.5
887500	18.52
890000	22.77
892500	13.97
895000	8.72
897500	23.21
900000	15.8
902500	7.12
905000	19.89
907500	20.42
